x,y,theta,v,omega
1.498543,3.721043,-1.571721,0.470448,0.133272
3.454213,4.189847,3.962556,0.357652,-2.0
3.427392,4.166277,3.762556,0.414256,-1.842869
3.350682,4.13016,3.417087,0.412003,-1.494979
3.310347,4.121952,3.267589,0.492037,-1.143458
3.76337,4.93313,0.017005,0.5,0.114379
5.806143,5.668978,-2.542327,0.405684,1.768906
5.774837,5.64326,-2.365436,0.3699,1.73086
5.751187,3.798594,-1.564274,0.490226,0.116083
5.752149,3.699821,-1.574537,0.495502,0.018986
4.634878,2.465097,-2.519201,0.5,0.141968
2.194877,3.662186,-1.592795,0.489661,-0.33919
2.19297,3.61326,-1.626714,0.485454,-0.505226
2.189034,3.564879,-1.677237,0.487957,-0.628021
2.172575,3.470997,-1.823414,0.362165,-1.630545
3.961397,0.197838,3.042405,0.462665,0.129318
3.915329,0.202122,3.055337,0.493716,0.079397
3.866125,0.20618,3.063277,0.5,0.080096
3.816263,0.209892,3.071286,0.483803,-0.062981
3.768013,0.213442,3.064988,0.5,0.023893
3.718155,0.217209,3.067378,0.5,-0.103986
3.570952,0.229646,3.057445,0.477806,-0.004209
3.473516,0.237847,3.058978,0.497725,0.016662
3.224752,0.257584,3.066489,0.489456,0.108857
3.175926,0.260991,3.077374,0.5,-0.0695
2.880592,3.003418,2.181337,0.493421,0.361016
2.85158,3.043327,2.217438,0.5,-0.142628
2.741941,3.207673,2.039175,0.475287,-0.972464
3.927241,2.919733,1.562402,0.482047,0.08028
3.927452,2.967937,1.57043,0.5,0.110012
3.927196,3.017936,1.581432,0.5,0.119844
2.120897,3.41961,3.844677,0.479431,-0.700025
2.044045,3.363379,3.698134,0.481279,-0.862056
2.002135,3.339747,3.611928,0.478709,-0.914991
2.970818,1.737635,1.841846,0.440702,-0.806192
4.631593,4.881708,2.861912,0.484921,0.660521
5.820031,4.169099,-1.120376,0.411357,-1.688303
5.834735,4.130733,-1.289206,0.398922,-1.569977
5.842773,4.091701,-1.446204,0.44344,-1.223767
5.845581,4.047474,-1.56858,0.484344,-0.994598
5.843281,3.999114,-1.66804,0.46914,-0.815155
5.83683,3.952659,-1.749556,0.489621,-0.606606
5.826668,3.90477,-1.810216,0.483507,-0.456003
5.814135,3.858076,-1.855817,0.5,-0.233335
4.922964,3.177483,-3.242529,0.491515,-0.084242
2.939093,4.879568,-2.951195,0.474223,0.848171
4.832435,4.37021,-1.656845,0.5,-0.304082
4.827381,4.320468,-1.687253,0.5,-0.258002
3.15651,0.585967,0.315541,0.466646,0.170916
2.834179,3.627609,0.64035,0.466631,-0.865149
3.480629,4.170298,-1.353924,0.431291,1.279838
1.017202,4.751872,-1.343788,0.451098,0.483945
1.533748,3.494889,-1.221772,0.432365,1.172694
1.600158,3.383397,-0.82303,0.451974,1.27886
5.057879,2.457647,-0.620726,0.482907,-0.343956
5.820903,3.192806,1.406466,0.480562,0.91179
5.826594,3.240508,1.497645,0.459599,0.844309
5.828015,3.286432,1.582076,0.461295,0.623687
5.826057,3.332512,1.644445,0.478979,0.511293
5.821314,3.38017,1.695574,0.5,0.544869
5.804031,3.476572,1.799174,0.5,0.42499
5.79168,3.525018,1.841673,0.473584,0.311122
1.09498,1.41323,2.797773,0.451261,1.046452
1.051777,1.426192,2.902418,0.493131,0.708321
1.003494,1.436169,2.973251,0.5,0.715345
0.953943,1.442777,3.044785,0.486857,0.681106
0.905363,1.445829,3.112896,0.490719,0.546613
0.856297,1.445896,3.167557,0.478901,-0.401551
0.808411,1.445614,3.127402,0.485285,-0.570909
0.759934,1.447687,3.070311,0.466202,-0.663275
0.713576,1.452547,3.003983,0.451199,-1.000018
0.669266,1.460959,2.903982,0.399051,-1.637623
0.594798,1.492532,2.58357,0.374917,-1.532757
