x,y,theta,v,omega
1.705554,0.920082,1.494174,0.488425,-0.25304
3.276082,1.463359,1.876266,0.468768,0.715575
3.260398,1.507523,1.947824,0.469311,0.620691
2.943745,2.107677,1.992749,0.488475,-0.293258
2.924396,2.152527,1.963423,0.479626,-0.112343
2.710552,2.464921,-1.594093,0.496001,0.108273
3.07586,0.564682,1.937717,0.474675,-0.668866
2.131925,3.239863,-1.572569,0.405189,1.488399
2.134864,3.199489,-1.423729,0.471389,1.294278
2.923679,0.57123,-1.439959,0.5,0.125973
1.546294,0.741189,2.923064,0.5,-0.095892
1.063366,0.845865,2.950923,0.5,-0.084809
0.869248,0.88549,2.934107,0.5,0.147798
2.057827,1.259574,0.373359,0.5,-0.137867
2.242297,1.328561,0.34733,0.5,-0.085308
2.473742,1.410851,0.349419,0.49596,0.010466
3.435208,1.763076,0.373082,0.488424,-0.095904
2.723205,3.795514,-2.890291,0.495671,-0.007342
2.628729,3.771521,-2.8994,0.466649,-0.079898
2.583382,3.76051,-2.907389,0.5,0.209296
2.441764,3.579978,-1.447391,0.446515,1.071656
2.863665,1.768936,-1.381628,0.5,0.24803
0.628249,3.042717,-1.305449,0.5,0.45124
1.042913,2.036181,-1.209583,0.5,0.098276
1.060813,1.989496,-1.199755,0.5,0.104329
3.749628,2.169513,-3.955286,0.144949,2.0
3.139524,1.840028,-2.538223,0.451478,-0.199593
2.544329,1.516657,-2.680467,0.493848,0.018027
2.323815,1.402467,-2.643843,0.493615,-0.03677
2.2804,1.378979,-2.64752,0.493393,0.189493
2.19321,1.331464,-2.665705,0.5,-0.462478
0.981591,1.260988,-3.176887,0.47826,0.014439
0.884936,1.264304,-3.175817,0.5,0.323895
2.618,1.626483,-2.396784,0.5,0.109596
1.806489,1.02089,-3.017702,0.496486,-0.584573
3.676498,2.001621,1.96246,0.445399,1.15282
3.051053,2.596514,2.3514,0.5,-0.226162
2.948884,2.706312,2.299546,0.5,0.005886
2.915576,2.743603,2.300134,0.48187,-0.05725
0.919356,3.252907,2.446143,0.5,-0.089919
0.843966,3.317151,2.422721,0.5,-0.212936
0.703692,3.446245,2.394929,0.5,-0.23297
0.631901,3.515846,2.348507,0.5,-0.041404
0.190175,2.66249,1.652569,0.482594,-0.21356
0.186747,2.710627,1.631213,0.5,-0.229759
0.184302,2.760566,1.608237,0.495912,-0.200657
0.182943,2.810138,1.588171,0.5,-0.347823
0.182944,2.860135,1.553389,0.488154,-0.112087
0.184067,2.908937,1.54218,0.5,-0.094939
0.185735,2.958909,1.532686,0.5,-0.186392
0.188105,3.008852,1.514047,0.5,-0.180758
0.191392,3.058744,1.495971,0.5,-0.11837
0.195425,3.10858,1.484134,0.486656,0.08797
0.199424,3.157081,1.492931,0.493704,-0.002998
0.203272,3.206302,1.492631,0.474347,-0.077126
0.207158,3.253577,1.484919,0.489604,-0.091917
0.211582,3.302337,1.475727,0.5,0.119026
0.216032,3.352138,1.48763,0.5,0.164568
0.219775,3.401997,1.504087,0.5,-0.042368
0.223214,3.451879,1.49985,0.5,-0.041711
0.230209,3.549125,1.504871,0.475926,-0.031015
0.233418,3.596609,1.50177,0.470898,0.085718
1.77399,3.065745,2.44046,0.5,-0.18168
1.73608,3.098344,2.422292,0.5,-0.100405
1.512398,3.297214,2.438587,0.486229,-0.075582
0.942448,1.289342,2.087359,0.43054,-1.421072
0.911607,2.100935,1.651129,0.48763,0.241965
0.76962,3.175584,1.695935,0.484072,-0.130597
2.698843,1.868626,1.318938,0.494252,0.1439
2.806987,2.298347,1.348468,0.5,0.187489
2.861876,2.842448,1.588797,0.497825,-0.109327
2.851206,3.631163,1.572112,0.483719,0.005622
2.59794,0.821153,-0.118921,0.5,0.136948
2.945785,0.782387,-0.105597,0.5,0.043473
2.905964,2.688775,-1.245059,0.5,0.032064
3.297123,1.574394,-1.23224,0.482806,0.043613
3.313257,1.528889,-1.227878,0.498003,-0.000155
3.346889,1.434926,-1.224645,0.471869,0.084086
0.471366,3.485183,-0.549734,0.415144,0.934037
2.319875,1.115185,-0.34626,0.495563,-0.092943
2.366411,1.09815,-0.355554,0.5,0.000947
0.734298,2.398569,3.406495,0.5,0.149132
2.662147,3.11446,2.01215,0.5,0.036295
1.428142,1.359703,-0.200024,0.5,0.342871
2.705437,1.755933,-1.636693,0.483896,-0.077335
2.676884,1.320228,-1.615442,0.484131,0.020391
1.358752,3.013016,-0.4267,0.5,0.374307
3.182861,1.085909,-1.122811,0.483841,0.028081
1.350503,1.694666,1.949999,0.492202,-0.61656
1.297628,1.881544,1.762585,0.48089,-0.69787
1.121436,2.286937,-1.206459,0.490309,-0.301643
1.138214,2.240867,-1.236623,0.5,-0.12641
1.451424,1.586586,-0.87977,0.460728,0.149443
1.481052,1.551304,-0.864826,0.5,0.383008
1.514211,1.513885,-0.826525,0.5,0.198225
1.548445,1.477444,-0.806702,0.5,0.120528
1.583256,1.441553,-0.79465,0.478566,0.078371
1.616915,1.407533,-0.786813,0.473525,0.184948
1.80807,2.626306,-2.895541,0.486372,0.6038
1.761284,2.613042,-2.835161,0.477699,0.497805
1.291149,2.233905,-1.94853,0.48651,0.975442
2.075397,3.2371,-2.225096,0.430668,-1.222186
0.998141,3.632798,0.354658,0.422945,-1.246783
1.769149,3.644853,0.084175,0.5,0.113747
2.701855,3.752314,0.106752,0.479284,-0.00942
2.749513,3.757398,0.10581,0.489096,0.228753
2.798086,3.763119,0.128685,0.498988,-0.171846
2.847624,3.769097,0.111501,0.480718,-0.030592
2.94398,3.779994,0.121989,0.5,-0.051332
2.993623,3.785951,0.116856,0.49062,-0.10696
3.04238,3.791411,0.10616,0.5,0.129476
1.788297,1.332177,-3.349009,0.463138,-0.28317
1.743117,1.342355,-3.377326,0.468302,-0.38797
0.194662,1.566211,1.691731,0.472702,-0.551486
0.190256,1.61327,1.636583,0.47243,-0.739821
0.188896,1.660482,1.562601,0.469128,-0.524622
0.190511,1.707362,1.510138,0.5,-0.362289
0.194445,1.757204,1.473909,0.464844,-0.458371
0.200001,1.803351,1.428072,0.482427,-0.264657
0.207494,1.851007,1.401607,0.5,-0.367179
0.216816,1.900128,1.364889,0.5,-0.221286
0.227579,1.948954,1.34276,0.468017,-0.073553
0.238327,1.994505,1.335405,0.476048,0.077468
0.260587,2.089537,1.340995,0.498825,0.112313
0.419339,2.957556,1.422488,0.5,-0.033032
1.772545,0.416255,-4.551138,0.043675,2.0
2.312979,2.682947,-0.548391,0.498332,-0.520842
2.82538,2.223048,-0.75872,0.491114,0.072527
2.895573,2.157967,-0.728052,0.5,0.114597
2.969858,2.093494,-0.697435,0.5,0.03537
3.084996,1.997352,-0.698415,0.5,-0.176541
2.153869,0.907913,-0.76214,0.5,-0.119878
3.801884,1.724388,0.964521,0.038377,2.0
3.803742,1.727738,1.164521,0.150195,2.0
3.807867,1.786307,1.764521,0.33539,2.0
3.779618,1.854184,2.132786,0.422455,1.416539
3.754654,1.888221,2.27444,0.444173,1.15231
0.322923,2.938477,0.691316,0.387125,-1.921191
0.354928,2.960151,0.499197,0.402308,-1.754154
0.955107,2.927557,-0.135398,0.46886,0.272907
1.930948,2.907573,0.026532,0.5,0.005898
2.592665,2.75026,-1.407633,0.5,-0.028757
1.304258,1.646471,-0.98964,0.5,-0.124508
2.95886,3.761641,-0.938496,0.459121,-1.286994
2.98354,3.722964,-1.067196,0.464268,-0.917976
3.004048,3.68133,-1.158993,0.5,-0.696686
3.089739,3.296621,-1.411472,0.499573,0.129544
3.147133,3.003805,-1.342166,0.5,0.076278
3.223764,2.718884,-1.276952,0.5,-0.019481
3.558889,1.638648,-1.29453,0.5,0.091757
3.717423,1.121929,-1.279849,0.497519,0.04962
1.317474,1.932255,1.631157,0.5,0.037604
1.314364,1.982158,1.634917,0.5,-0.376116
2.276239,3.530718,0.945773,0.486396,0.064876
1.132941,0.799404,0.16131,0.5,-0.176616
3.765822,3.775963,-2.168577,0.464329,0.212165
3.740098,3.737308,-2.147361,0.457368,0.227036
3.715603,3.698685,-2.124657,0.5,0.299215
3.483911,3.266401,-2.071391,0.486607,0.232602
2.961039,2.316367,-2.078865,0.5,-0.030171
2.576881,1.62959,-2.159258,0.5,-0.340955
0.433642,2.761564,-1.537793,0.490068,0.00817
0.473566,2.323492,-1.446126,0.5,0.217186
0.503051,2.128925,-1.406868,0.5,0.015758
0.600675,1.49328,-1.437139,0.5,-0.021174
3.093905,1.087134,3.445459,0.438618,-1.304691
3.002175,1.070796,3.210277,0.5,-1.066796
1.684415,1.382093,2.558879,0.5,-0.268573
1.603264,1.440437,2.450078,0.48293,-0.421988
0.670492,2.459484,2.302223,0.487616,0.115979
0.647721,1.950383,1.581645,0.482035,-0.241038
0.653084,2.148483,1.516189,0.497591,-0.041982
0.363885,1.782654,-0.468506,0.430026,1.130283
2.189489,3.259994,-0.952058,0.5,-0.061832
1.794524,3.307016,-0.755187,0.490447,-0.101772
2.976568,0.605406,-1.395367,0.494729,-0.062205
1.131002,1.086159,-2.743539,0.491355,0.273695
0.712061,0.831761,-2.466602,0.493341,0.252449
3.306855,1.957559,1.05563,0.5,0.051225
2.760123,2.460294,-1.502012,0.457262,0.138048
2.838654,1.02824,-1.548989,0.5,0.067937
2.839914,0.978256,-1.542196,0.499458,0.073063
2.841524,0.928336,-1.534889,0.485621,0.058475
2.848152,0.731469,-1.532072,0.5,-0.064565
2.984768,3.010664,3.613717,0.370883,-1.997208
1.745712,3.293857,2.953381,0.5,0.016625
1.696587,3.303171,2.955043,0.5,-0.182373
1.359257,3.372828,2.926306,0.5,-0.007465
1.677289,0.807243,-2.544449,0.49569,-0.070983
1.428672,0.640546,-2.56419,0.5,0.00957
1.386791,0.613233,-2.563233,0.5,-0.00747
0.178873,2.498528,-0.258683,0.142921,2.0
0.216372,2.497241,0.141317,0.249216,2.0
0.866627,3.656695,1.01717,0.481977,-0.086055
1.084653,3.77843,-0.328239,0.465485,-0.964765
1.127925,3.761324,-0.424715,0.448831,-0.954833
1.67268,3.235076,-0.806601,0.5,0.220996
3.245418,0.487522,-1.21484,0.5,-0.060303
0.721132,1.010525,-2.902406,0.5,-0.077453
2.070417,3.75385,-1.941794,0.492774,-0.291267
1.927704,3.442132,-2.041611,0.5,0.098748
3.489788,3.096079,-3.21355,0.49559,0.596262
1.949903,3.457966,-0.19371,0.373163,-2.0
0.797719,1.443432,1.054985,0.5,-0.403255
0.640835,2.306813,-0.615033,0.481574,-1.137376
0.809102,2.133267,-0.883657,0.497701,0.089519
2.25606,0.947162,-0.683592,0.5,0.090639
2.607854,0.671272,-0.643058,0.497658,-0.292975
1.822457,1.330697,2.933926,0.477058,-0.77074
2.960874,3.304155,-2.780232,0.47462,0.933207
2.517366,3.010335,-2.604087,0.5,-0.222949
3.28756,0.538119,2.541006,0.472858,-0.248591
1.292541,2.282275,-1.794628,0.480679,0.55892
2.805738,0.72737,3.368053,0.436208,-1.140067
2.762765,0.720017,3.254046,0.457672,-1.03802
3.210144,0.293705,3.677302,0.343305,-1.926473
3.179123,0.279124,3.484654,0.374953,-1.716669
3.142906,0.269597,3.312988,0.415053,-1.318859
3.05674,0.266605,3.040917,0.437539,-0.980916
3.013493,0.273129,2.942826,0.476446,-0.814973
2.560466,0.450491,2.747746,0.460587,0.367933
0.490813,2.097283,0.673902,0.4937,-1.220204
1.172324,2.358815,0.451572,0.5,0.151159
1.261493,2.404064,0.493418,0.5,0.170888
3.427841,3.822926,-2.197942,0.481787,-0.896603
3.363416,3.749355,-2.383898,0.487449,-0.578459
3.327058,3.716897,-2.441744,0.46218,-0.456855
3.209493,3.631086,-2.560795,0.489216,-0.244305
1.355673,0.179482,1.634582,0.5,-0.094697
1.352722,0.229395,1.625113,0.477482,-0.031027
1.325707,1.061535,1.601773,0.478008,-0.005409
1.127035,3.545148,3.052806,0.472383,-0.084202
1.080001,3.549535,3.044385,0.488427,-0.033652
0.862997,0.798225,2.68673,0.5,0.005581
0.200506,2.83077,-0.282794,0.155081,-2.0
0.214867,2.824987,-0.482794,0.235522,-2.0
0.254618,2.792031,-0.882794,0.353668,-2.0
0.271017,2.35581,-1.715568,0.473795,0.206068
0.253262,2.010543,-1.542932,0.5,0.121416
0.350991,0.935496,-1.454087,0.5,-0.362711
2.31653,0.195056,1.028035,0.437294,0.680248
2.444176,0.702329,1.432496,0.5,-0.018007
0.806338,1.09362,-0.246305,0.5,0.01907
1.498345,1.540028,2.367182,0.5,-0.424215
1.401456,1.649427,2.224517,0.448399,-0.719012
1.349952,1.728154,2.077714,0.475181,-0.923842
3.763237,1.472671,-3.200534,0.210259,2.0
3.742263,1.471809,-3.000534,0.219982,2.0
3.387779,0.675832,-1.969996,0.5,-0.137602
