x,y,theta,v,omega
3.087479,3.614252,0.016819,0.499999,0.010596
3.237452,3.61708,0.021647,0.499999,0.029883
3.437362,3.622968,0.040147,0.499999,0.080743
0.031275,3.250462,1.317476,0.499998,-0.594166
0.105183,3.435682,1.054425,0.499997,-0.750911
0.131478,3.478195,0.979334,0.499997,-0.776686
0.267084,3.624056,0.662742,0.499999,-0.777947
0.440731,3.72186,0.372753,0.499999,-0.610639
0.633628,3.773265,0.162239,0.499999,-0.386882
0.782683,3.789495,0.061341,0.499999,-0.24296
0.9326,3.793713,-8.7e-05,0.499999,-0.137098
0.982598,3.793366,-0.013797,0.499999,-0.110308
1.182487,3.786946,-0.045552,0.499999,-0.038525
1.23243,3.784573,-0.049404,0.499999,-0.0277
1.38222,3.776646,-0.055299,0.499999,-0.006942
1.581906,3.765439,-0.056095,0.499999,0.003363
1.731674,3.757113,-0.05488,0.499999,0.0047
1.931383,3.746324,-0.053139,0.499999,0.003383
2.131106,3.735818,-0.052108,0.499999,0.001211
2.330836,3.72543,-0.051941,0.499999,-0.000843
2.530563,3.714998,-0.052538,0.499999,-0.002415
2.680353,3.707064,-0.05332,0.499999,-0.002722
2.880064,3.696309,-0.05415,0.499999,0.000146
3.079774,3.685564,-0.052727,0.499999,0.011942
3.279531,3.675709,-0.044162,0.499999,0.042388
3.429427,3.670196,-0.027604,0.499999,0.085488
0.218093,1.938295,1.717797,0.499999,0.00042
0.086109,2.879013,1.6714,0.499999,-0.132398
0.184799,3.608679,1.012585,0.499999,-0.840344
0.357942,3.786317,0.583101,0.499999,-0.812841
0.445467,3.834469,0.425105,0.499999,-0.71312
0.636444,3.892101,0.176535,0.499999,-0.465701
1.384192,3.879598,-0.092118,0.499999,-0.010537
1.583319,3.860942,-0.09373,0.499999,0.003171
1.732669,3.846988,-0.092469,0.499999,0.005326
1.931833,3.828729,-0.090441,0.499999,0.004112
2.131028,3.810808,-0.089153,0.499999,0.001689
2.330238,3.793048,-0.088835,0.499999,-0.000624
3.625839,3.688674,-0.016926,0.499999,0.182157
0.593594,0.161948,0.464621,0.20249,0.094495
1.16685,0.546354,0.684865,0.253788,0.044499
1.349514,0.700911,0.715715,0.384973,0.029863
1.550646,0.878731,0.730029,0.5,0.015133
2.10519,1.38367,0.752459,0.5,0.043486
0.596445,1.904369,0.770405,0.465296,-0.355276
1.540092,2.449226,0.42445,0.499999,-0.007712
1.813625,2.572432,0.42298,0.499999,0.001656
0.609035,2.349283,0.601442,0.499999,-0.351056
1.008618,2.554253,0.381906,0.499999,-0.12123
1.574396,2.753707,0.319514,0.499999,-0.007246
0.211633,2.426054,1.001991,0.394219,-0.482339
0.628517,2.777126,0.452747,0.499999,-0.328347
1.393122,3.006013,0.212791,0.499999,-0.027389
0.124139,2.780509,1.046522,0.457123,-0.540867
0.60081,3.16945,0.371041,0.499999,-0.365139
0.859437,3.597812,0.127217,0.499998,-0.237831
1.008752,3.611866,0.064068,0.499998,-0.160569
1.208603,3.61896,0.011612,0.499998,-0.089036
2.058205,3.596177,-0.041344,0.499998,-0.00266
2.108162,3.594104,-0.04161,0.499998,-0.001729
2.307986,3.585744,-0.041806,0.499998,0.00155
2.507815,3.57748,-0.040613,0.499998,0.005827
2.707661,3.56965,-0.037258,0.499998,0.013747
2.907545,3.562861,-0.029763,0.499998,0.029117
3.057497,3.559125,-0.01925,0.499998,0.048845
1.008812,3.867922,0.011656,0.499998,-0.208709
0.24722,2.135672,1.690508,0.499999,0.000237
0.229308,2.284599,1.690394,0.499999,-0.002401
0.227587,3.571032,1.162807,0.499999,-0.705207
0.249027,3.616191,1.092287,0.499999,-0.744566
0.814402,3.978758,0.133719,0.499998,-0.403233
1.013881,3.990829,-0.002713,0.499999,-0.247186
1.16375,3.985249,-0.067736,0.499999,-0.161861
0.784668,0.172929,0.409985,0.207381,0.092383
0.970571,0.264176,0.502934,0.206724,0.094386
1.164332,0.384546,0.60975,0.211924,0.101149
1.348192,0.528342,0.713981,0.286778,0.106091
