x,y,theta,v,omega
2.699650999999999801e+00,1.990955999999999948e+00,8.523230000000000528e-01,5.000000000000000000e-01,3.183400000000000118e-02
2.732502000000000209e+00,2.028649000000000147e+00,8.555059999999999887e-01,5.000000000000000000e-01,2.308199999999999835e-02
2.765251000000000126e+00,2.066431000000000129e+00,8.578139999999999654e-01,5.000000000000000000e-01,1.582400000000000126e-02
2.797925000000000217e+00,2.104277999999999871e+00,8.593969999999999665e-01,5.000000000000000000e-01,9.979000000000000023e-03
2.830550999999999817e+00,2.142167000000000154e+00,8.603950000000000209e-01,5.000000000000000000e-01,5.420000000000000338e-03
2.863147999999999804e+00,2.180080999999999936e+00,8.609369999999999523e-01,5.000000000000000000e-01,1.994000000000000113e-03
2.895729999999999915e+00,2.218005999999999922e+00,8.611360000000000126e-01,5.000000000000000000e-01,-4.640000000000000027e-04
2.928310000000000191e+00,2.255935000000000024e+00,8.610900000000000221e-01,5.000000000000000000e-01,-2.121000000000000055e-03
2.960894999999999833e+00,2.293858999999999870e+00,8.608780000000000321e-01,5.000000000000000000e-01,-3.137000000000000031e-03
2.993488999999999844e+00,2.331774999999999931e+00,8.605639999999999956e-01,5.000000000000000000e-01,-3.657999999999999793e-03
3.026095999999999897e+00,2.369679000000000091e+00,8.601980000000000182e-01,5.000000000000000000e-01,-3.817000000000000080e-03
3.058717999999999826e+00,2.407570999999999906e+00,8.598160000000000247e-01,5.000000000000000000e-01,-3.727999999999999977e-03
3.091353999999999935e+00,2.445450999999999819e+00,8.594439999999999857e-01,5.000000000000000000e-01,-3.487000000000000082e-03
3.124003000000000085e+00,2.483319999999999972e+00,8.590950000000000530e-01,5.000000000000000000e-01,-3.176000000000000004e-03
3.156665999999999972e+00,2.521176999999999779e+00,8.587770000000000126e-01,5.000000000000000000e-01,-2.857999999999999863e-03
3.189338999999999924e+00,2.559025000000000105e+00,8.584910000000000041e-01,5.000000000000000000e-01,-2.582999999999999793e-03
